Aachen-Bold				001-050/034/acb_____.afm
ACaslon-AltBold				151-200/181/awab____.afm
ACaslon-AltBoldItalic				151-200/181/awabi___.afm
ACaslon-AltItalic				151-200/181/awai____.afm
ACaslon-AltRegular				151-200/181/awarg___.afm
ACaslon-AltSemibold				151-200/181/awasb___.afm
ACaslon-AltSemiboldItalic				151-200/181/awasi___.afm
ACaslon-Bold				151-200/180/awb_____.afm
ACaslon-Bold				900-960/960/awb_____.afm
ACaslon-BoldItalic				151-200/180/awbi____.afm
ACaslon-BoldItalic				900-960/960/awbi____.afm
ACaslon-BoldItalicOsF				151-200/181/awbio___.afm
ACaslon-BoldOsF				151-200/181/awbos___.afm
ACaslon-Italic				151-200/180/awi_____.afm
ACaslon-Italic				900-960/960/awi_____.afm
ACaslon-ItalicOsF				151-200/181/awio____.afm
ACaslon-Ornaments				151-200/181/awor____.afm
ACaslon-Regular				151-200/180/awrg____.afm
ACaslon-Regular				900-960/960/awrg____.afm
ACaslon-RegularSC				151-200/181/awsc____.afm
ACaslon-Semibold				151-200/180/awsb____.afm
ACaslon-Semibold				900-960/960/awsb____.afm
ACaslon-SemiboldItalic				151-200/180/awsbi___.afm
ACaslon-SemiboldItalic				900-960/960/awsbi___.afm
ACaslon-SemiboldItalicOsF				151-200/181/awsis___.afm
ACaslon-SemiboldSC				151-200/181/awsbs___.afm
ACaslon-SwashBoldItalic				151-200/181/awswb___.afm
ACaslon-SwashItalic				151-200/181/awswi___.afm
ACaslon-SwashSemiboldItalic				151-200/181/awssb___.afm
ACaslonExp-Bold				151-200/181/axb_____.afm
ACaslonExp-BoldItalic				151-200/181/axbi____.afm
ACaslonExp-Italic				151-200/181/axi_____.afm
ACaslonExp-Regular				151-200/181/axrg____.afm
ACaslonExp-Semibold				151-200/181/axsb____.afm
ACaslonExp-SemiboldItalic				151-200/181/axsbi___.afm
AGaramond-Bold				051-100/100/gdb_____.afm
AGaramond-Bold				900-960/902/gdb_____.afm
AGaramond-BoldItalic				051-100/100/gdbi____.afm
AGaramond-BoldItalic				900-960/902/gdbi____.afm
AGaramond-BoldItalicOsF				101-150/101/gdbio___.afm
AGaramond-BoldOsF				101-150/101/gdbos___.afm
AGaramond-Italic				051-100/100/gdi_____.afm
AGaramond-Italic				ai-fonts/gdi_____.afm
AGaramond-Italic				typesets/gdi_____.afm
AGaramond-ItalicOsF				101-150/101/gdio____.afm
AGaramond-Regular				051-100/100/gdrg____.afm
AGaramond-Regular				900-960/902/gdrg____.afm
AGaramond-Regular				ai-fonts/gdrg____.afm
AGaramond-Regular				typesets/gdrg____.afm
AGaramond-RegularSC				101-150/101/gdsc____.afm
AGaramond-Semibold				051-100/100/gdsb____.afm
AGaramond-Semibold				ai-fonts/gdsb____.afm
AGaramond-Semibold				typesets/gdsb____.afm
AGaramond-SemiboldItalic				051-100/100/gdsbi___.afm
AGaramond-SemiboldItalic				ai-fonts/gdsbi___.afm
AGaramond-SemiboldItalic				typesets/gdsbi___.afm
AGaramond-SemiboldItalicOsF				101-150/101/gdsis___.afm
AGaramond-SemiboldSC				101-150/101/gdsbs___.afm
AGaramond-Titling				101-150/101/gdttl___.afm
AGaramondAlt-Italic				101-150/101/ggi_____.afm
AGaramondAlt-Regular				101-150/101/ggrg____.afm
AGaramondExp-Bold				101-150/101/geb_____.afm
AGaramondExp-BoldItalic				101-150/101/gebi____.afm
AGaramondExp-Italic				101-150/101/gei_____.afm
AGaramondExp-Regular				101-150/101/gerg____.afm
AGaramondExp-Semibold				101-150/101/gesb____.afm
AGaramondExp-SemiboldItalic				101-150/101/gesbi___.afm
AGBook-Stencil				251-300/286/tast____.afm
AGBook-Stencil				900-960/903/tast____.afm
AGBookRounded-Bold				301-350/303/kdb_____.afm
AGBookRounded-BoldCn				301-350/303/kdbc____.afm
AGBookRounded-BoldCnOutline				301-350/303/kdbcl___.afm
AGBookRounded-BoldOutline				301-350/303/kdbou___.afm
AGBookRounded-Medium				301-350/303/kdm_____.afm
AGBookRounded-MediumOutline				301-350/303/kdmou___.afm
AGBookRounded-Regular				301-350/303/kdrg____.afm
AGOldFace-Bold				201-250/249/qwb_____.afm
AGOldFace-BoldOutline				201-250/249/qwbou___.afm
AGOldFace-Medium				201-250/249/qwm_____.afm
AGOldFace-Outline				201-250/249/qwou____.afm
AGOldFace-Outline				valuepak/qwou____.afm
AGOldFace-Regular				201-250/249/qwrg____.afm
AGOldFace-Shaded				201-250/249/qwsh____.afm
AGOldFace-Shaded				251-300/286/qwsh____.afm
AGSchoolbook-Medium				301-350/306/okm_____.afm
AGSchoolbook-MediumA				301-350/306/okma____.afm
AGSchoolbook-Regular				301-350/306/okrg____.afm
AGSchoolbook-RegularA				301-350/306/okarg___.afm
Aja				351-400/393/ja______.afm
AkzidenzGroteskBE-Bold				051-100/096/gfb_____.afm
AkzidenzGroteskBE-BoldCn				251-300/270/gfbc____.afm
AkzidenzGroteskBE-BoldEx				201-250/248/gfbv____.afm
AkzidenzGroteskBE-BoldExIt				201-250/248/gfbei___.afm
AkzidenzGroteskBE-BoldIt				051-100/096/gfbi____.afm
AkzidenzGroteskBE-Cn				251-300/270/gfc_____.afm
AkzidenzGroteskBE-Ex				201-250/248/gfex____.afm
AkzidenzGroteskBE-It				051-100/096/gfi_____.afm
AkzidenzGroteskBE-Light				051-100/096/gfl_____.afm
AkzidenzGroteskBE-LightCn				251-300/270/gflc____.afm
AkzidenzGroteskBE-LightCn				900-960/905/gflc____.afm
AkzidenzGroteskBE-LightEx				201-250/248/gflex___.afm
AkzidenzGroteskBE-LightOsF				051-100/096/gflos___.afm
AkzidenzGroteskBE-Md				051-100/096/gfm_____.afm
AkzidenzGroteskBE-MdCn				251-300/270/gfmc____.afm
AkzidenzGroteskBE-MdCnIt				251-300/270/gfmci___.afm
AkzidenzGroteskBE-MdEx				201-250/248/gfmex___.afm
AkzidenzGroteskBE-MdIt				051-100/096/gfmi____.afm
AkzidenzGroteskBE-Regular				051-100/096/gfrg____.afm
AkzidenzGroteskBE-Super				051-100/096/gfsu____.afm
AkzidenzGroteskBE-XBd				251-300/270/gfeb____.afm
AkzidenzGroteskBE-XBdCn				251-300/270/gfxc____.afm
AkzidenzGroteskBE-XBdCnIt				251-300/270/gfxci___.afm
AlbertusMT				201-250/246/lr______.afm
AlbertusMT-Italic				201-250/246/lri_____.afm
AlbertusMT-Light				201-250/246/lrl_____.afm
Aldus-Italic				251-300/257/afi_____.afm
Aldus-ItalicOsF				251-300/257/afiof___.afm
Aldus-Roman				251-300/257/afr_____.afm
Aldus-RomanSC				251-300/257/afrsc___.afm
Alexa				351-400/388/xa______.afm
Americana				051-100/068/am______.afm
Americana-Bold				051-100/068/amb_____.afm
Americana-ExtraBold				051-100/068/ameb____.afm
Americana-Italic				051-100/068/ami_____.afm
AmericanTypewriter-Bold				001-050/010/atb_____.afm
AmericanTypewriter-Bold				900-960/950/atb_____.afm
AmericanTypewriter-BoldA				001-050/010/atba____.afm
AmericanTypewriter-BoldA				900-960/950/atba____.afm
AmericanTypewriter-BoldCond				001-050/010/atbc____.afm
AmericanTypewriter-BoldCond				900-960/950/atbc____.afm
AmericanTypewriter-BoldCondA				001-050/010/atbca___.afm
AmericanTypewriter-BoldCondA				900-960/950/atbca___.afm
AmericanTypewriter-Cond				001-050/010/atc_____.afm
AmericanTypewriter-Cond				900-960/950/atc_____.afm
AmericanTypewriter-CondA				001-050/010/atca____.afm
AmericanTypewriter-CondA				900-960/950/atca____.afm
AmericanTypewriter-Light				001-050/010/atl_____.afm
AmericanTypewriter-Light				900-960/950/atl_____.afm
AmericanTypewriter-LightA				001-050/010/atla____.afm
AmericanTypewriter-LightA				900-960/950/atla____.afm
AmericanTypewriter-LightCond				001-050/010/atlc____.afm
AmericanTypewriter-LightCond				900-960/950/atlc____.afm
AmericanTypewriter-LightCondA				001-050/010/atlca___.afm
AmericanTypewriter-LightCondA				900-960/950/atlca___.afm
AmericanTypewriter-Medium				001-050/010/atm_____.afm
AmericanTypewriter-Medium				900-960/950/atm_____.afm
AmericanTypewriter-MediumA				001-050/010/atma____.afm
AmericanTypewriter-MediumA				900-960/950/atma____.afm
Amigo				301-350/339/ig______.afm
Andreas				401-450/413/hy______.afm
Anna				351-400/355/iarg____.afm
AntiqueOlive-Black				051-100/082/aqbl____.afm
AntiqueOlive-Bold				051-100/082/aqb_____.afm
AntiqueOlive-BoldCond				101-150/107/aqbc____.afm
AntiqueOlive-Compact				101-150/107/aqct____.afm
AntiqueOlive-Italic				051-100/082/aqi_____.afm
AntiqueOlive-Light				051-100/082/aql_____.afm
AntiqueOlive-Nord				101-150/107/aqnr____.afm
AntiqueOlive-NordItalic				101-150/107/aqnri___.afm
AntiqueOlive-Roman				051-100/082/aqr_____.afm
ApolloMT				301-350/340/ezr_____.afm
ApolloMT-Expert				301-350/340/ezexp___.afm
ApolloMT-Italic				301-350/340/ezi_____.afm
ApolloMT-ItalicExpert				301-350/340/ezixp___.afm
ApolloMT-ItalicOsF				301-350/340/eziof___.afm
ApolloMT-SC				301-350/340/ezrsc___.afm
ApolloMT-SemiBold				301-350/340/ezsb____.afm
ApolloMT-SemiBoldExpert				301-350/340/ezsbx___.afm
ApolloMT-SemiBoldOsF				301-350/340/ezsbo___.afm
Arcadia				101-150/116/a_______.afm
Arcadia				typesets/a_______.afm
Arcadia-A				101-150/116/a_aaa___.afm
Ariadne-Roman				351-400/353/aria____.afm
Arkona-Medium				351-400/395/xnm_____.afm
Arkona-Regular				351-400/395/xnrg____.afm
ArnoldBoecklin				051-100/090/ab______.afm
AshleyScriptMT				301-350/319/le______.afm
AudioLH-Pi				251-300/279/audi1___.afm
Auriol				201-250/223/al______.afm
Auriol-Black				201-250/223/albl____.afm
Auriol-BlackItalic				201-250/223/albli___.afm
Auriol-Bold				201-250/223/alb_____.afm
Auriol-BoldItalic				201-250/223/albi____.afm
Auriol-Italic				201-250/223/ali_____.afm
AvantGarde-Bold				201-250/212/agb_____.afm
AvantGarde-BoldObl				201-250/212/agbo____.afm
AvantGarde-Book				001-050/004/agw_____.afm
AvantGarde-Book				900-960/950/agw_____.afm
AvantGarde-Book				base35/agw_____.afm
AvantGarde-BookOblique				001-050/004/agwo____.afm
AvantGarde-BookOblique				900-960/950/agwo____.afm
AvantGarde-BookOblique				base35/agwo____.afm
AvantGarde-CondBold				101-150/124/agcb____.afm
AvantGarde-CondBook				101-150/124/agcw____.afm
AvantGarde-CondDemi				101-150/124/agcd____.afm
AvantGarde-CondMedium				101-150/124/agcm____.afm
AvantGarde-Demi				001-050/004/agd_____.afm
AvantGarde-Demi				900-960/950/agd_____.afm
AvantGarde-Demi				base35/agd_____.afm
AvantGarde-DemiOblique				001-050/004/agdo____.afm
AvantGarde-DemiOblique				900-960/950/agdo____.afm
AvantGarde-DemiOblique				base35/agdo____.afm
AvantGarde-ExtraLight				201-250/212/agel____.afm
AvantGarde-ExtraLightObl				201-250/212/agelo___.afm
AvantGarde-Medium				201-250/212/agm_____.afm
AvantGarde-MediumObl				201-250/212/agmo____.afm
Avenir-Black				051-100/080/aebl____.afm
Avenir-BlackOblique				051-100/080/aeblo___.afm
Avenir-Book				051-100/080/aew_____.afm
Avenir-BookOblique				051-100/080/aewo____.afm
Avenir-Heavy				051-100/079/aeh_____.afm
Avenir-HeavyOblique				051-100/079/aeho____.afm
Avenir-Light				051-100/079/ael_____.afm
Avenir-LightOblique				051-100/079/aelo____.afm
Avenir-Medium				051-100/080/aem_____.afm
Avenir-MediumOblique				051-100/080/aemo____.afm
Avenir-Oblique				051-100/079/aero____.afm
Avenir-Roman				051-100/079/aer_____.afm
BakerSignet				201-250/211/ba______.afm
Balzano				351-400/388/zn______.afm
Banco				101-150/149/bc______.afm
Banshee				401-450/427/zo______.afm
Barmeno-Bold				251-300/273/bfb_____.afm
Barmeno-ExtraBold				251-300/273/bfeb____.afm
Barmeno-ExtraBold				251-300/286/bfeb____.afm
Barmeno-ExtraBold				valuepak/bfeb____.afm
Barmeno-Medium				251-300/273/bfm_____.afm
Barmeno-Regular				251-300/273/bfrg____.afm
BaskervilleBE-Bold				301-350/324/vib_____.afm
BaskervilleBE-Italic				301-350/324/vii_____.afm
BaskervilleBE-Medium				301-350/324/vim_____.afm
BaskervilleBE-MediumItalic				301-350/324/vimi____.afm
BaskervilleBE-Regular				301-350/324/virg____.afm
BaskervilleBook-Italic				201-250/232/bti_____.afm
BaskervilleBook-MedItalic				201-250/232/btmi____.afm
BaskervilleBook-Medium				201-250/232/btm_____.afm
BaskervilleBook-Regular				201-250/232/btrg____.afm
BaskervilleCyr-Bold				351-400/365/_byb____.afm
BaskervilleCyr-Inclined				351-400/365/_byi____.afm
BaskervilleCyr-Upright				351-400/365/_by_____.afm
BauerBodoni-Black				101-150/111/bbbl____.afm
BauerBodoni-BlackCond				101-150/111/bbblc___.afm
BauerBodoni-BlackItalic				101-150/111/bbbli___.afm
BauerBodoni-Bold				051-100/098/bbb_____.afm
BauerBodoni-BoldCond				101-150/111/bbbc____.afm
BauerBodoni-BoldItalic				051-100/098/bbbi____.afm
BauerBodoni-BoldItalicOsF				151-200/199/bbbio___.afm
